Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Num_of_Delayed_Payment,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Simulated_Credit_Score
23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",7,Good,809.98,26.82261962,265,49.57494921,21.46538026,High_spent_Small_value_payments,312.4940887,601
23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",4,Good,809.98,31.94496006,266,49.57494921,21.46538026,Low_spent_Large_value_payments,284.6291625,593
23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",7,Good,809.98,28.60935202,267,49.57494921,21.46538026,Low_spent_Medium_value_payments,331.2098629,582
23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",4,Good,809.98,31.37786187,268,49.57494921,21.46538026,Low_spent_Small_value_payments,223.4513097,596
23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",4,Good,809.98,24.79734691,269,49.57494921,21.46538026,High_spent_Medium_value_payments,341.489231,622
23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",4,Good,809.98,27.26225871,270,49.57494921,21.46538026,High_spent_Medium_value_payments,340.4792118,622
23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",8,Good,809.98,22.53759303,271,49.57494921,21.46538026,Low_spent_Small_value_payments,244.5653167,586
23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",6,Good,809.98,23.9337948,272,49.57494921,21.46538026,High_spent_Medium_value_payments,358.1241676,617
28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,4,Good,605.03,24.46403064,319,18.81621457,39.68401842,Low_spent_Small_value_payments,470.6906269,658
28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,1,Good,605.03,38.55084843,320,18.81621457,39.68401842,High_spent_Large_value_payments,484.5912143,683
28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,1,Good,605.03,33.22495079,321,18.81621457,39.68401842,High_spent_Large_value_payments,466.4664764,688
28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,Good,605.03,39.18265566,322,18.81621457,39.68401842,Low_spent_Medium_value_payments,465.6762241,655
28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,1,Good,605.03,34.97789475,323,18.81621457,39.68401842,Low_spent_Small_value_payments,444.8670319,669
28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,0,Good,605.03,33.3810102,324,18.81621457,39.68401842,High_spent_Large_value_payments,481.5052619,697
28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,4,Good,605.03,31.13170161,325,18.81621457,39.68401842,High_spent_Medium_value_payments,464.8806779,680
28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,4,Good,605.03,32.93385629,326,18.81621457,39.68401842,Low_spent_Small_value_payments,356.0781086,659
34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,Good,1303.01,28.61673482,213,246.9923195,168.4137027,High_spent_Small_value_payments,1043.315978,522
34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",6,Good,1303.01,41.70257342,214,246.9923195,168.4137027,High_spent_Small_value_payments,998.8692968,523
34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",7,Good,1303.01,26.51981539,215,246.9923195,168.4137027,High_spent_Small_value_payments,715.7413674,531
34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",5,Good,1303.01,39.50164811,216,246.9923195,168.4137027,Low_spent_Medium_value_payments,426.5134106,511
34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",5,Good,1303.01,31.37614957,217,246.9923195,168.4137027,Low_spent_Large_value_payments,810.7821527,519
34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",6,Good,1303.01,39.78399346,218,246.9923195,168.4137027,High_spent_Medium_value_payments,963.9215811,529
34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",6,Good,1303.01,38.06862363,219,246.9923195,168.4137027,High_spent_Small_value_payments,968.5555174,532
34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",6,Good,1303.01,38.37475295,220,246.9923195,168.4137027,High_spent_Small_value_payments,895.4945832,533
54,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,6,Good,632.46,26.54422872,207,16.41545166,29.39331143,Low_spent_Large_value_payments,433.604773,512
54,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,3,Good,632.46,35.27998178,208,16.41545166,29.39331143,Low_spent_Small_value_payments,409.9518118,521
55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,9,Good,632.46,32.30116343,209,16.41545166,29.39331143,High_spent_Medium_value_payments,411.4271229,515
55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,6,Good,632.46,38.13234819,210,16.41545166,29.39331143,Low_spent_Small_value_payments,262.4995943,506
55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,6,Good,632.46,41.15431655,211,16.41545166,29.39331143,Low_spent_Large_value_payments,359.3749155,505
55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,6,Good,632.46,27.44542179,212,16.41545166,29.39331143,High_spent_Small_value_payments,419.8807835,537
55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,6,Good,632.46,26.05639528,213,16.41545166,29.39331143,Low_spent_Large_value_payments,443.5499568,520
55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,9,Good,632.46,27.33251493,214,16.41545166,29.39331143,High_spent_Small_value_payments,379.2163811,525
21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,15,Standard,943.86,39.79776423,368,0.0,37.64363789,High_spent_Medium_value_payments,288.6055223,656
21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,15,Standard,943.86,27.02036025,369,0.0,37.64363789,High_spent_Medium_value_payments,460.8872756,668
21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,12,Standard,943.86,23.46230304,370,0.0,37.64363789,Low_spent_Medium_value_payments,392.1922657,667
21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,15,Standard,943.86,28.92495378,371,0.0,37.64363789,High_spent_Medium_value_payments,438.5454316,669
21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,17,Standard,943.86,41.77618715,372,0.0,37.64363789,High_spent_Small_value_payments,482.6076383,650
21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,15,Standard,943.86,29.21755633,373,0.0,37.64363789,High_spent_Medium_value_payments,497.6872788,671
21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,15,Standard,943.86,26.26382269,374,0.0,37.64363789,Low_spent_Small_value_payments,394.3189339,654
21,615067821,Developer,35547.71,2853.309167,7,5,5,0,No Data,15,Standard,943.86,25.86292247,375,0.0,37.64363789,High_spent_Small_value_payments,364.0000157,676
31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,10,Good,548.2,39.96268501,384,0.0,42.63559025,High_spent_Large_value_payments,740.1960901,714
31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,7,Good,548.2,42.7698644,384,0.0,42.63559025,Low_spent_Medium_value_payments,705.9312855,707
31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,7,Good,548.2,40.71218653,385,0.0,42.63559025,High_spent_Medium_value_payments,698.8107657,730
31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,7,Good,548.2,30.20165771,386,0.0,42.63559025,Low_spent_Small_value_payments,270.6681087,719
31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,7,Good,548.2,26.33331043,387,0.0,42.63559025,Low_spent_Large_value_payments,690.9186643,724
31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,7,Good,548.2,35.27543652,388,0.0,42.63559025,Low_spent_Large_value_payments,633.080175,718
31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,4,Good,548.2,36.62479126,389,0.0,42.63559025,High_spent_Small_value_payments,510.3611005,752
